filename,meeting_id,needs_ocr,reason
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1177: weak or fallback extraction.
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1178: weak or fallback extraction.
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1179: weak or fallback extraction.
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1180: weak or fallback extraction.
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1181: weak or fallback extraction.
120617 Council Meeting Approved Minutes.pdf,213,False,Review item 1182: weak or fallback extraction.
12062023 minutes.pdf,214,False,Review item 1183: weak or fallback extraction.
12062023 minutes.pdf,214,False,Review item 1184: weak or fallback extraction.
12062023 minutes.pdf,214,False,Review item 1185: weak or fallback extraction.
12062023 minutes.pdf,214,False,Review item 1186: weak or fallback extraction.
12062023 minutes.pdf,214,False,Review item 1187: weak or fallback extraction.
12062023 minutes.pdf,214,False,Review item 1188: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1190: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1191: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1192: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1193: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1194: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1195: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1196: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1197: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1198: weak or fallback extraction.
120716 Council Meeting Approved Minutes.pdf,215,False,Review item 1199: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1200: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1201: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1202: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1205: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1206: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1207: weak or fallback extraction.
12072022 minutes.pdf,216,False,Review item 1208: weak or fallback extraction.
12092020 Council Meeting Minutes.pdf,217,False,Review item 1209: weak or fallback extraction.
12092020 Council Meeting Minutes.pdf,217,False,Review item 1210: weak or fallback extraction.
12092020 Council Meeting Minutes.pdf,217,False,Review item 1211: weak or fallback extraction.
12092020 Council Meeting Minutes.pdf,217,False,Review item 1212: weak or fallback extraction.
12092020 Council Meeting Minutes.pdf,217,False,Review item 1213: weak or fallback extraction.
121115 Workshop Approved Minutes.pdf,218,False,No agenda/action items extracted.
12132023 minutes.pdf,219,False,Review item 1214: weak or fallback extraction.
12172025.pdf,221,False,Review item 1216: weak or fallback extraction.
12172025.pdf,221,False,Review item 1217: weak or fallback extraction.
12172025.pdf,221,False,Review item 1218: weak or fallback extraction.
12172025.pdf,221,False,Review item 1221: weak or fallback extraction.
12172025.pdf,221,False,Review item 1222: weak or fallback extraction.
12172025.pdf,221,False,Review item 1223: weak or fallback extraction.
12172025.pdf,221,False,Review item 1224: weak or fallback extraction.
12172025.pdf,221,False,Review item 1225: weak or fallback extraction.
12172025.pdf,221,False,Review item 1226: weak or fallback extraction.
12182024 minutes.pdf,222,False,Review item 1227: weak or fallback extraction.
122016 Council Meeting Approved Minutes.pdf,223,False,Review item 1228: weak or fallback extraction.
122016 Council Meeting Approved Minutes.pdf,223,False,Review item 1229: weak or fallback extraction.
12302020 Council Meeting Minutes.pdf,224,False,Review item 1230: weak or fallback extraction.
12302020 Council Meeting Minutes.pdf,224,False,Review item 1231: weak or fallback extraction.
12302020 Council Meeting Minutes.pdf,224,False,Review item 1232: weak or fallback extraction.
2019-01-09 Council Meeting Approved Minutes.pdf,225,False,Review item 1233: weak or fallback extraction.
2019-01-09 Council Meeting Approved Minutes.pdf,225,False,Review item 1234: weak or fallback extraction.
2019-01-23 Council Meeting Approved Minutes.pdf,226,False,Review item 1235: weak or fallback extraction.
2019-01-23 Council Meeting Approved Minutes.pdf,226,False,Review item 1236: weak or fallback extraction.
2019-01-23 Council Meeting Approved Minutes.pdf,226,False,Review item 1237: weak or fallback extraction.
2019-01-30 Council Meeting Approved Minutes.pdf,227,False,Review item 1238: weak or fallback extraction.
2019-02-06 Council Meeting Approved Minutes.pdf,228,False,Review item 1239: weak or fallback extraction.
2019-02-06 Council Meeting Approved Minutes.pdf,228,False,Review item 1242: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1245: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1246: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1247: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1248: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1249: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1250: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1251: weak or fallback extraction.
2019-02-20 Council Meeting Approved Minutes.pdf,229,False,Review item 1252: weak or fallback extraction.
