item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
116,21,Administrative,True,,No location name/address matched,Approved agenda
117,21,Consent Agenda,True,,No location name/address matched,Approved consent agenda
118,21,Vote,True,,No location name/address matched,Approved schedule for
119,21,Resolution,True,,No location name/address matched,Adopted Resolution No. 2024-03
124,21,Resolution,True,,No location name/address matched,Adopted Resolution No. 2024-01
125,22,Vote,True,,No location name/address matched,Approved the agenda
126,22,Consent Agenda,True,,No location name/address matched,"Approved the Consent Agenda, revising minutes as necessary"
127,22,Vote,True,,No location name/address matched,Authorized staff to distribute RFQ 2016-01
128,22,Vote,True,,No location name/address matched,Authorized staff to distribute RFP 2016-01
129,22,Vote,True,,No location name/address matched,Authorized staff to distribute RFP 2016-02
130,22,Unknown,False,,No location name/address matched,Appointed Robert King as Village CAC Representative to MPO
131,22,Unknown,False,,No location name/address matched,"Accepted the letter of resignation from Jeffrey Mass dated January 12, 2016 and directed the Village Clerk to advertise the vacancy and solicit applications"
132,22,Resolution,True,,No location name/address matched,Adopted Resolution 2016-05 as amended
133,22,Vote,True,,No location name/address matched,"Authorized the Mayor to sign the letter and approved and endorsed the white paper entitled ""Caloosahatchee Watershed Regional Water Management Issues."""
134,22,Resolution,True,,No location name/address matched,Adopted Resolution No. 2016-04
135,23,Vote,True,,No location name/address matched,Approved the agenda
136,23,Vote,True,,No location name/address matched,Motion failed
137,23,Vote,True,,No location name/address matched,"Approved the February 1, 2017 Council meeting minutes as presented"
138,23,Unknown,False,,No location name/address matched,"The ""Whereas"" clause appointing a liaison will have no name in it and the clause will indicate that the Council will appoint a liaison for the project"
139,23,Resolution,True,,No location name/address matched,"Adopted Resolution No. 2017-05 as amended: the third ""Whereas"" to read ""Whereas, the Village Council of the Village of Estero supports Lee County in its efforts to acquire Edison Farms for preservation purposes in perpetuity"" and the fourth ""Whereas"" to read ""Whereas, the Village Council will appoint a Councilmember to act as liaison for the project."""
140,23,Unknown,False,,No location name/address matched,Appointed Councilmember Jim Boesch as liaison for the project
141,23,Resolution,True,,No location name/address matched,"Adopted Resolution No. 2017-06 supporting the Village ofEstero membership in the Charlotte Harbor National Estuary Program for a three year period, to be reauthorized annually, with an annual membership fee of $5,000, and appointing Councilmember Katy Errington as liaison; amended Section 4 of the resolution, changed Village Manager to Mayor, and added the word ""fiscal"" in the last sentence of Section 1 of the funding agreement: ""The Council may extend this Agreement for two additional fiscal years ... """
142,23,Vote,True,,No location name/address matched,"Amended the recently approved Village Council Legislative Agenda to add support for State funding of $3,550,000 for a Visitor and Environmental Education Center at Lovers Key State Park"
143,23,Ordinance,True,,No location name/address matched,Continued first reading of Ordinance No. 2017-02
144,24,Administrative,True,,No location name/address matched,Approved agenda
145,24,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
146,24,Vote,True,,No location name/address matched,Motion passed to authorize Village Manager to take the necessary actions to demolish the residential structure and convey salvaged elements to third parties in the Village's best interests
147,24,Contract Approval,True,,No location name/address matched,Motion passed to authorize Village Manager to execute the Federally Funded Subaward and Grant Agreement for Hurricane Ian between the Village and the State of Florida
148,24,Contract Approval,True,Estero on the River,No location name/address matched,"Approved award of Request for Bids No. RFB 2023-01, Estero on the River Non-Native Invasive and Nuisance Plant Treatments to Milborne, LLC to provide the services as provided in the contract, at a grand total cost of $82,317.41, approve a contingency fund amount of $8,230 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council"
149,24,Contract Approval,True,,No location name/address matched,"Approved agreement for Land Use and Code Enforcement Special Magistrate Services with Robert Pritt at the hourly rate listed in the Agreement. Grant the Village Manager the authority to renegotiate and execute the renewal of this Agreement on an annual basis, if doing so is in the best interest of the Village of Estero, authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council"
150,24,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2023-02 and set second reading for March 1, 2023"
151,24,Ordinance,True,,No location name/address matched,Approved Zoning Ordinance 2023-01
152,24,Resolution,True,,No location name/address matched,Approved Resolution 2023-01 (12th Amendment to Development of Regional Impact Development Order)
153,25,Administrative,True,,No location name/address matched,Approved agenda
154,25,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
155,25,Contract Approval,True,,No location name/address matched,Approved the 2021-2022 Interlocal Agreement between Village of Estero and Lee County for Stray Animal Control Services
156,26,Administrative,True,,No location name/address matched,Approved agenda
157,26,Consent Agenda,True,,No location name/address matched,Approved consent agenda
158,26,Resolution,True,,No location name/address matched,Adopted Resolution No. 2025-02
159,26,Contract Approval,True,,No location name/address matched,"Approved award of Contract EC2020-01 STA02 Change Oder 01 to Kisinger Campo & Associates to provide additional professional services to secure right of way and provide additional permitting assistance for a not to exceed amount of $125,364 and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council"
160,26,Contract Approval,True,,No location name/address matched,"Approved Change Order No. 2 to Contract No. 2019-36 with Coastal Engineering Consultants, Inc. for additional services needed to respond to additional FDEP permit questions and prepare an emergency dredging application and authorize the Village Manager to sign Change Order No. 2 on behalf of the Village of Estero Council"
161,27,Administrative,True,,No location name/address matched,Approved agenda
162,27,Consent Agenda,True,,No location name/address matched,Approved consent agenda
163,27,Contract Approval,True,,No location name/address matched,"Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council"
164,27,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2024-03 and set second reading for March 6, 2024"
165,28,Discussion,True,,No location name/address matched,Approved the agenda as revised; comments from the public on non- agenda items will be heard prior to the workshop discussion
166,29,Vote,True,,No location name/address matched,Approved the agenda with the removal of agenda item 6(A)
167,29,Vote,True,,No location name/address matched,Approved the Notice of Competitive Negotiation
168,29,Ordinance,True,,No location name/address matched,Approved first reading of Ordinance No. 2016-02
169,29,Vote,True,,No location name/address matched,Authorized the Mayor to sign the letter
170,29,Vote,True,,No location name/address matched,Approved the agenda
171,30,Vote,True,,No location name/address matched,Approved motion to excuse Councilmember Wilson's absence
172,30,Administrative,True,,No location name/address matched,Approved agenda
173,30,Resolution,True,,No location name/address matched,Approved Resolution No. 2021-02 and authorize the Village to modify the Resolution if needed
174,30,Vote,True,,No location name/address matched,"Approved motion to conclude interviews, and schedule the item at the March 3rd meeting, where a final decision will be made"
176,31,Presentation,True,BERT Rail Trail,No location name/address matched,"passed overwhelmingly on November 4, 2014 by Florida voters; Ten Percent for Trails - ask legislators to allocate funding from 2014 Constitutional Amendment One; recommendations from the Florida Greenways and Trails Foundation on how the 10% should be committed were provided, as well as economic, tourism, and safety goals of paved trails for Florida. 8. COUNCIL QUESTIONS: Discussion followed regarding safety record to date; experience with local cities; average cost for one mile of trail; how to make intersections safe; minimum building standards and safety features; steps to get going; maintenance and replacement costs; availability of grant funds; asphalt vs. concrete; purchasing railroad right-of-way; references for all of the great ideas in archives, rails with trails, and engineering resources; and shading of trails. 9. PRESENTATION ON SUNTRAIL FROM LEE COUNTY MPO PERSPECTIVE - DON SCOTT, EXECUTIVE DIRECTOR, LEE COUNTY METROPOLITAN PLANNING ORGANIZATION: Mr. Scott addressed and provided information regarding the following maps: Lee County Corridors from 2015 Office of Green ways Land Trail Opportunity; Southwest Coastal Regional Trail; Land Trail Opportunity; Priority Trail; Area Attractions map; The Coastal Loop - addition to the Southwest Coastal Regional Trail; Trail along Seminole Gulf Railroad Right-of-Way- in Estero and Bonita Springs, the SW Coastal Regional Trail is proposed along the Seminole Gulf Railroad right-of-way from Alico Road to Riverside Park; and Lee County MPO Rail Feasibility Study map. Mr. Scott spoke to the development of the SUNTrail Network/Southwest Coast Connector Priorities; SUNTrail Network Timeline; SUNTrail Project Applications; the Kismet Parkway Multi-Use Trail Project; and the John Yarbrough Trail Extension. 10. COUNCIL QUESTIONS: Discussion followed regarding timeline and the possibility of updating the maps in the near future; materials preference; resurfacing maintenance; there were no matching Joint Workshop: Village Council and Bonita Springs City Council Final Action Agenda/Minutes - February 28, 2017 Page 3 of4 funds; MPO railroad right-of-way study; and the interest shown by the Seminole Gulf Railway representatives. 11"
