candidate_id,item_id,meeting_id,location_id,candidate_name,candidate_address,candidate_source,arcgis_query,evidence,review_status
35,213,41,39,9401 Corkscrew Palms Circle,"9401 Corkscrew Palms Circle, Estero, FL",address_regex,"9401 Corkscrew Palms Circle, Estero, FL","APPROVED BY COUNCIL MARCH 20, 2024 VILLAGE COUNCIL REGULAR MEETING Village of Estero Council Chambers 9401 Corkscrew Palms Circle Estero, FL 33928 March 13, 2024 9:30 a.m. 1. CALL TO ORDER INVOCATION Led by Councilmember Fiesel PLEDGE OF ALLEGIANCE Led by Councilmember Lopez ROLL CALL Present: Mayor Jon McLain - District 3, Vice Mayor Joanne Ribble - District 1, Councilmember Larry Fiesel - District 2, Councilmember Lori Fayhee - District 4, Councilmember Rafael Lopez - District 5, Councilmember",Needs Geocode
36,227,44,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approved initiation of a rezoning and Comprehensive Plan Amendment for property south of Estero River, East of US 41 and north of Corkscrew Road",Needs Geocode
37,227,44,22,Estero River,"Estero River, Estero, FL",known_location_missing_coordinates,"Estero River, Estero, FL","Approved initiation of a rezoning and Comprehensive Plan Amendment for property south of Estero River, East of US 41 and north of Corkscrew Road",Needs Geocode
38,228,44,19,Broadway Avenue,"Broadway Avenue, Estero, FL",known_location_missing_coordinates,"Broadway Avenue, Estero, FL","Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Needs Geocode
39,228,44,21,River Oaks Preserve,"River Oaks Preserve, Estero, FL",known_location_missing_coordinates,"River Oaks Preserve, Estero, FL","Approved the purchase of the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Needs Geocode
40,230,44,12,Sandy Lane,"Sandy Lane, Estero, FL",known_location_missing_coordinates,"Sandy Lane, Estero, FL","Approved the contract with Atkins North America to provide design and permitting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project in the amount of $671,513.25, approve a contingency fund amount of $67,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with Atkins North America and any other related ancillary documents on behalf of the Village Counc",Needs Geocode
41,232,45,3,Estero Fire Rescue,"21500 Three Oaks Parkway, Estero, FL 33928",known_location_missing_coordinates,"21500 Three Oaks Parkway, Estero, FL 33928","APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- 4 came forward. He then requested a motion to approve a resolution to approve an interlocal agreement with the EFRD for the rental of office space. Ms. Errington so moved, seconded by Mr. Boesch. After Mr. Wilson remarked that the proposal was a tribute to government ""lite"", the motion was called and carried unanimously. RESOLUTION NO. 2015-10 9(H) DISCUSSION/RESOLUTION - A discussion and proposed resolution establishing tempora",Needs Geocode
42,232,45,16,Three Oaks Parkway,"Three Oaks Parkway, Estero, FL",known_location_missing_coordinates,"Three Oaks Parkway, Estero, FL","APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- 4 came forward. He then requested a motion to approve a resolution to approve an interlocal agreement with the EFRD for the rental of office space. Ms. Errington so moved, seconded by Mr. Boesch. After Mr. Wilson remarked that the proposal was a tribute to government ""lite"", the motion was called and carried unanimously. RESOLUTION NO. 2015-10 9(H) DISCUSSION/RESOLUTION - A discussion and proposed resolution establishing tempora",Needs Geocode
43,232,45,37,21500 Three Oaks Parkway,"21500 Three Oaks Parkway, Estero, FL",address_regex,"21500 Three Oaks Parkway, Estero, FL","APPROVED MINUTES FOR VILLAGE OF ES TERO 3/17/2015 MEETING---------- 4 came forward. He then requested a motion to approve a resolution to approve an interlocal agreement with the EFRD for the rental of office space. Ms. Errington so moved, seconded by Mr. Boesch. After Mr. Wilson remarked that the proposal was a tribute to government ""lite"", the motion was called and carried unanimously. RESOLUTION NO. 2015-10 9(H) DISCUSSION/RESOLUTION - A discussion and proposed resolution establishing tempora",Needs Geocode
44,255,50,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway",Needs Geocode
45,255,50,27,Bella Terra,"Bella Terra, Estero, FL",known_location_missing_coordinates,"Bella Terra, Estero, FL","Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway",Needs Geocode
46,278,55,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved EC 2021-04 Amendment-06 in the amount of $23,466 with P&T Lawn and Tractor to replace trees and shrubs along Estero Parkway and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council",Needs Geocode
47,304,60,19,Broadway Avenue,"Broadway Avenue, Estero, FL",known_location_missing_coordinates,"Broadway Avenue, Estero, FL","Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Needs Geocode
48,304,60,21,River Oaks Preserve,"River Oaks Preserve, Estero, FL",known_location_missing_coordinates,"River Oaks Preserve, Estero, FL","Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Needs Geocode
49,305,60,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved Resolution No. 2022-06 Commercial Contract for the Purchase of Real Estate from Gess Family Partnership + Gulf Coast Driving Range LLC, Located at 9000 Williams Road, Estero, Florida",Needs Geocode
50,305,60,40,9000 Williams Road,"9000 Williams Road, Estero, FL",address_regex,"9000 Williams Road, Estero, FL","Approved Resolution No. 2022-06 Commercial Contract for the Purchase of Real Estate from Gess Family Partnership + Gulf Coast Driving Range LLC, Located at 9000 Williams Road, Estero, Florida",Needs Geocode
51,312,62,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Vi",Needs Geocode
52,312,62,18,Coconut Road,"Coconut Road, Estero, FL",known_location_missing_coordinates,"Coconut Road, Estero, FL","Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Vi",Needs Geocode
53,327,66,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","approved in Item 5(G); and that a revised Map ""B"" had been circulated on April 14, 2015. Following brief Council discussion as to whether it would be appropriate to include the revised map in today's action, Special Zoning Counsel Nancy Stroud provided a detailed explanation of the purpose, requirements and limitations of ""Zoning in Progress"". She also addressed concerns and misconceptions contained in letters from residents, developers and landowners. Vice-Mayor Levitan offered comments regardi",Needs Geocode
54,327,66,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","approved in Item 5(G); and that a revised Map ""B"" had been circulated on April 14, 2015. Following brief Council discussion as to whether it would be appropriate to include the revised map in today's action, Special Zoning Counsel Nancy Stroud provided a detailed explanation of the purpose, requirements and limitations of ""Zoning in Progress"". She also addressed concerns and misconceptions contained in letters from residents, developers and landowners. Vice-Mayor Levitan offered comments regardi",Needs Geocode
55,332,67,12,Sandy Lane,"Sandy Lane, Estero, FL",known_location_missing_coordinates,"Sandy Lane, Estero, FL","Approved the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and authorize the Village Manager to execute the agreement on behalf of the Village Council",Needs Geocode
56,344,69,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL","Approved the award of Supplemental Task authorization 04 to Contract EC 2023-38 to Johnson Engineering, Inc. for the Phase 1 Estero Parkway Reuse Main Design, Permit and Grant Funding Assistance at a cost of $89,858.00, approve a $9,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council",Needs Geocode
57,345,69,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved the consultants ranking for Williams Road Widening Preliminary Design and Engineering Project as follows: Number 1 - Kisinger Campo & Associates; Number 2 - Q. Grady Minor & Associates; Number 3 - Kimley-Horn and Associates, authorize staff to negotiate a contract with the Number 1 ranked firm, Kisinger Campo & Associates, to provide professional consulting services for the Williams Road Widening Preliminary Design and Engineering Project",Needs Geocode
58,353,71,19,Broadway Avenue,"Broadway Avenue, Estero, FL",known_location_missing_coordinates,"Broadway Avenue, Estero, FL","Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Needs Geocode
59,353,71,21,River Oaks Preserve,"River Oaks Preserve, Estero, FL",known_location_missing_coordinates,"River Oaks Preserve, Estero, FL","Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue",Needs Geocode
60,355,71,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved the contract EC 2020-48 STA 10 with CW3 Engineering to provide design and permitting services for the Williams Road Bicycle/Pedestrian Improvements Project in the amount of $358,790, approve a contingency fund amount of $36,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with CW3 Engineering and any other related ancillary documents on behalf of the Village Council",Needs Geocode
61,356,71,14,Estero Parkway,"Estero Parkway, Estero, FL",known_location_missing_coordinates,"Estero Parkway, Estero, FL",Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,Needs Geocode
62,356,71,15,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway, Estero, FL",known_location_missing_coordinates,"Ben Hill Griffin Parkway, Estero, FL",Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway,Needs Geocode
63,364,73,41,10611 Chevrolet Way,"10611 Chevrolet Way, Estero, FL",address_regex,"10611 Chevrolet Way, Estero, FL","APPROVED BY COUNCIL MAY 17, 2017 FINAL ACTION AGENDA/MINUTES Hampton Inn & Suites, Arena Room 10611 Chevrolet Way Estero, FL 33928 Village Council Organizational Business Meeting April 24, 2017 8:30 a.m. 1. CALL TO ORDER AND ROLL CALL: Mayor Boesch called the meeting to order at 9:00 a.m. Roll Call: Present: Mayor Jim Boesch - District 5, Vice Mayor Bill Ribble, District 1, Councilmember Howard Levitan - District 2, Councilmember Katy Errington - District 4, Councilmember Nick Batos - District 6",Needs Geocode
64,368,75,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by Council, at a later date",Needs Geocode
65,369,75,12,Sandy Lane,"Sandy Lane, Estero, FL",known_location_missing_coordinates,"Sandy Lane, Estero, FL","Approved Construction Manager at Risk agreement between Village of Estero and Chris-Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by Council, at a later date",Needs Geocode
66,394,79,17,US 41 / Tamiami Trail,"US 41, Estero, FL",known_location_missing_coordinates,"US 41, Estero, FL","Approve Misc. Contractor Services contract EC 2019-66 STA 21 with P & T Lawn & Tractor Services for $109,872 to replace trees along US 41 and provide additional landscape maintenance work on medians 22-24, approve a contingency fund amount of $11,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
67,395,79,13,Williams Road,"Williams Road, Estero, FL",known_location_missing_coordinates,"Williams Road, Estero, FL","Approved Misc. Contractor Services contract EC 2019-59 STA 08 with Cougar Contracting, LLC for $52,815 for the repair of sidewalks along Via Coconut Point and Williams Road, approve a contingency fund amount of $5,300 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
68,395,79,23,Coconut Point,"Coconut Point, Estero, FL",known_location_missing_coordinates,"Coconut Point, Estero, FL","Approved Misc. Contractor Services contract EC 2019-59 STA 08 with Cougar Contracting, LLC for $52,815 for the repair of sidewalks along Via Coconut Point and Williams Road, approve a contingency fund amount of $5,300 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",Needs Geocode
