ActionId,MeetingId,MeetingDate,ProjectName,MeetingType,Sequence,Kind,ReferenceCode,AmountUSD,RawText
58,16,2024-02-21,Corkscrew Road Widening,Regular Council Meeting,5,Approved Easement,EC 2024-06,59000.0,"Approved EC 2024-06 STA - 01 in the amount of $59,000 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Corkscrew Road Pathway Improvements Project, approve a $5,900 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
57,16,2024-02-21,Corkscrew Road Widening,Regular Council Meeting,4,Approved Contract,EC 2019-66,236405.0,"Approved EC 2019-66 STA -42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero Parkway, approve a $23,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on"
56,16,2024-02-21,Corkscrew Road Widening,Regular Council Meeting,3,Approved Easement,EC 2024-06,200600.0,"Approved EC 2024-06 STA -03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
55,16,2024-02-21,Corkscrew Road Widening,Regular Council Meeting,2,Approved Easement,EC 2024-06,47200.0,"Approved EC 2024-06 STA - 02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
54,16,2024-02-21,Corkscrew Road Widening,Regular Council Meeting,1,Adopted Resolution,2024-03,,Adopted Resolution No. 2024-03. Vote : (Roll Call) Aye:
53,16,2024-02-21,Corkscrew Road Widening,Regular Council Meeting,0,Approved,,,Approved schedule for Planning Zoning and Design Board appointments.
37,10,2024-01-24,BERT Rail Trail,Regular Council Meeting,5,Approved Lease,,,Approved Recreation Lease Agreement with the Lee County School Board . Vote : (Roll Call) Aye:
36,10,2024-01-24,BERT Rail Trail,Regular Council Meeting,4,Approved Agreement,,,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway. Vote : (Roll Call) Aye:
35,10,2024-01-24,BERT Rail Trail,Regular Council Meeting,3,Adopted Resolution,2024-02,,Adopted Resolution No. 2024-02. Vote : (Roll Call) Aye:
34,10,2024-01-24,BERT Rail Trail,Regular Council Meeting,2,Approved Contract,EC 2024-09,490560.65,"Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional i mplementing documents within the scope of the contract on behalf of the Village of Estero"
