ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,LandUseCategory,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD....",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-08-22,2023-08-22,2023,Accepted,56,2,Vote,commercial,"Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD....","Coconut Point Marketplace Signs - Administrative Zoning Amendment (ADD2023-E003) (District 6) A 10 acre-site located east of US 41, north of Sweetwater Ranch Boulevard and south of Via Rapallo Drive. This site is part of the Coconut Point DRI/MPD. Develop. Action: Approved Administrative Zoning Amendment with staff conditions",Approved Administrative Zoning Amendment with staff conditions,Approved Administrative Zoning Amendment with staff conditions,Approved Administrative Zoning Amendment with staff conditions,,,See minutes,,ADD2023-E003,6,"Marketplace at Coconut Point, 22780 Via Villagio, Estero, FL","Marketplace at Coconut Point, 22780 Via Villagio, Estero, FL",26.413657789311,-81.811493859539,1.0,,20230822 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230822%20PZDB%20Minutes.pdf,AgendaItemLocation
"RiverCreek Phase III - Development Order (DOS2023-E006) (District 7) 12840 Corkscrew Road. Located south of Corkscrew, across from Wildblue (Lee County) and east of Wildcat Run. Applicant requests the approval to construct 200 single family homes...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-08-22,2023-08-22,2023,Accepted,55,1,Vote,residential,"RiverCreek Phase III - Development Order (DOS2023-E006) (District 7) 12840 Corkscrew Road. Located south of Corkscrew, across from Wildblue (Lee County) and east of Wildcat Run. Applicant requests the approval to construct 200 single family homes...","RiverCreek Phase III - Development Order (DOS2023-E006) (District 7) 12840 Corkscrew Road. Located south of Corkscrew, across from Wildblue (Lee County) and east of Wildcat Run. Applicant requests the approval to construct 200 single family homes on 56.25. Action: Approved the Development Order for RiverCreek Phase III",Approved the Development Order for RiverCreek Phase III,Approved the Development Order for RiverCreek Phase III,Approved the Development Order for RiverCreek Phase III,,,See minutes,,DOS2023-E006,7,"12840 Corkscrew Road, Estero, FL","12840 Corkscrew Road, Estero, FL",26.449146368339,-81.742899851451,1.0,,20230822 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230822%20PZDB%20Minutes.pdf,AgendaItemLocation
"Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs",Village Council,Special Meeting,Village Council,2023-07-26,2023-07-26,2023,Accepted,1007,3,Contract Approval,infrastructure,"Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs","Approval of agreement with KTB Florida Sports Arena, LLC regarding its transfer of portion of stormwater retention lake serving the Hertz Arena property, and the sharing of related maintenance costs. Action: Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for De...","Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads","Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads","Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agreement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads",,,Detected,KTB Florida Sports Arena,,,"11000 Everblades Parkway, Estero, FL","11000 Everblades Parkway, Estero, FL",26.440541,-81.77872,1.0,TD/CS,07262023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07262023%20minutes.pdf,AgendaItemLocation
"Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway....",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-25,2023-07-25,2023,Accepted,54,4,Unknown,infrastructure,"Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway....","Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request . Action: Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities",Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,,,,See minutes,,LDO2022-E044,4,"21180 Country Creek Drive, Estero, FL","21180 Country Creek Drive, Estero, FL",26.433047604017,-81.794679007397,1.0,,20230725 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230725%20PZDB%20Minutes.pdf,AgendaItemLocation
"Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storag...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-25,2023-07-25,2023,Accepted,53,3,Vote,commercial,"Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storag...","Culver's Coconut Point - Development Order (DOS) (District 6) 8400 Murano Del Lago Drive, Tract 3C, Coconut Point Mixed Planned Development, vacant lot on the southeast corner of US 41 and Pelican Colony Boulevard, just north of Extra Space Storage. No ex. Action: Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food","Approved the Development Order for a4,052 square foot Fast Food",,,See minutes,,,6,"Culver's Coconut Point site, Estero, FL","Culver's Coconut Point site, Estero, FL",26.43176443654626,-81.78539888774463,1.0,,20230725 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230725%20PZDB%20Minutes.pdf,AgendaItemLocation
"Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring th...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-25,2023-07-25,2023,Accepted,52,2,Vote,infrastructure,"Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring th...","Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring the existi. Action: Approved the installation of the remote operated gates with staff recommendations",Approved the installation of the remote operated gates with staff recommendations,Approved the installation of the remote operated gates with staff recommendations,Approved the installation of the remote operated gates with staff recommendations,,,See minutes,,DCI2023-E001,4,"21530 Strada Nuova Circle, Estero, FL","21530 Strada Nuova Circle, Estero, FL",26.429852212979,-81.804329846895,1.0,,20230725 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230725%20PZDB%20Minutes.pdf,AgendaItemLocation
"The Cheesecake Factory - Outdoor Consumption on Premises (COP2023-E002) (District 6) 23106 Fashion Drive, Unit 135 in Coconut Point Mall. Located in the space previously occupied by Stir Crazy. Limited Development Order LDO2022-E055 approved Chees...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-25,2023-07-25,2023,Accepted,51,1,Vote,other,"The Cheesecake Factory - Outdoor Consumption on Premises (COP2023-E002) (District 6) 23106 Fashion Drive, Unit 135 in Coconut Point Mall. Located in the space previously occupied by Stir Crazy. Limited Development Order LDO2022-E055 approved Chees...","The Cheesecake Factory - Outdoor Consumption on Premises (COP2023-E002) (District 6) 23106 Fashion Drive, Unit 135 in Coconut Point Mall. Located in the space previously occupied by Stir Crazy. Limited Development Order LDO2022-E055 approved Cheesecake Fa. Action: Approved request for alcoholic beverage service in the outdoor patio area with staff conditions",Approved request for alcoholic beverage service in the outdoor patio area with staff conditions,Approved request for alcoholic beverage service in the outdoor patio area with staff conditions,Approved request for alcoholic beverage service in the outdoor patio area with staff conditions,,,See minutes,,COP2023-E002,6,"23106 Fashion Drive, Estero, FL","23106 Fashion Drive, Estero, FL",26.404693008589,-81.807764164083,1.0,,20230725 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230725%20PZDB%20Minutes.pdf,AgendaItemLocation
"Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Developmen...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-11,2023-07-11,2023,Accepted,50,3,Vote,mixed_use,"Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Developmen...","Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Development Order . Action: Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the si...","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards",,,See minutes,,DOS2022-E007,4,"21351 Happy Hollow Lane, Estero, FL","21351 Happy Hollow Lane, Estero, FL",26.428145699402,-81.805592580608,1.0,,20230711 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230711%20PZDB%20Minutes.pdf,AgendaItemLocation
"Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woo...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-11,2023-07-11,2023,Accepted,49,2,Vote,infrastructure,"Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woo...","Estero Bay Chevrolet Auto Dealership Lighting Upgrade - Deviation (LDO2023 TBD) (District 5) Continued from June 13, meeting. 10640 Chevrolet Way located south of Corkscrew Road, next to the I-75 southbound entrance ramp and north of Corkscrew Woodlands. . Action: Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant","Approved deviation from Section 5-604 E1 for 4000K lighting on the basis that it will be an improvement to the adjacent residents, and the current situation was not created by the applicant",,,See minutes,June 13,,5,"10640 Chevrolet Way, Estero, FL","10640 Chevrolet Way, Estero, FL",26.430703353337,-81.779022785732,1.0,,20230711 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230711%20PZDB%20Minutes.pdf,AgendaItemLocation
The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-11,2023-07-11,2023,Accepted,48,1,Resolution,infrastructure,The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan...,The Residences at Brooks Town Center (also known as Coconut Pointe Residences at the Brooks) - Final Plan Approval (DCI2020-E001) (District 6) 9.95-acre parcel at the northwest corner of Coconut Road and Three Oaks Parkway. Request for Final Plan Approval. Action: Approved Resolution 2023,Approved Resolution 2023,Approved Resolution 2023,Approved Resolution 2023,,,Detected,,DCI2020-E001,6,"Coconut Pointe Residences at Brooks Town Center site, Estero, FL","Coconut Pointe Residences at Brooks Town Center site, Estero, FL",26.39711,-81.78531,1.0,,20230711 PZDB Minutes.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2023/20230711%20PZDB%20Minutes.pdf,AgendaItemLocation
"Second Reading of Ordinance No. 2023-06 Coconut Road EPD Rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD) for a 45.6...",Village Council,Regular Meeting,Village Council,2023-07-05,2023-07-05,2023,Accepted,997,3,Ordinance,mixed_use,"Second Reading of Ordinance No. 2023-06 Coconut Road EPD Rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD) for a 45.6...","Second Reading of Ordinance No. 2023-06 Coconut Road EPD Rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD) for a 45.6-Acre Pa. Action: Approved Ordinance No. 2023-06 with the Council revisions",Approved Ordinance No. 2023-06 with the Council revisions,Approved Ordinance No. 2023-06 with the Council revisions,Approved Ordinance No. 2023-06 with the Council revisions,,,Detected,,Ordinance No. 2023-06,,"Woodfield Estero project site, northwest corner of US 41 & Coconut Road, Estero, FL","Woodfield Estero project site, northwest corner of US 41 & Coconut Road, Estero, FL",26.4022,-81.815,1.0,TD/CS,07052023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07052023%20%20minutes.pdf,AgendaItemLocation
Sandy Lane Improvements,Village Council,Regular Meeting,Village Council,2023-07-05,2023-07-05,2023,Accepted,1386,8,Contract Approval,infrastructure,"Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Soluti","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",,,Detected,,RFB 2023-07,,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL","Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",26.43663000848,-81.804926512673,0.95,ON/CO,07052023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07052023%20%20minutes.pdf,AgendaItemLocation
Sandy Lane Improvements,Village Council,Regular Meeting,Village Council,2023-07-05,2023-07-05,2023,Accepted,1002,8,Contract Approval,infrastructure,Sandy Lane Path Prefabricated Bridge - Request for Bid (RFB) 2023-07,"Sandy Lane Path Prefabricated Bridge - Request for Bid (RFB) 2023-07. Action: Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cos","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cos","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cos","Approved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engineered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cos",,,Detected,,RFB 2023-07,,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL","Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",26.43663000848,-81.804926512673,0.95,TD/CS,07052023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/07052023%20%20minutes.pdf,AgendaItemLocation
Williams Road Improvements,Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,993,12,Ordinance,commercial,"Second Reading of Ordinance No. 2023-04, Village Initiated Rezoning on Williams Road An Ordinance of the Village Council of the Village of Estero, Florida, Rezoning 21± Acres of Property Owned by the Village of Estero from Commercial Planned Devel...","Second Reading of Ordinance No. 2023-04, Village Initiated Rezoning on Williams Road An Ordinance of the Village Council of the Village of Estero, Florida, Rezoning 21± Acres of Property Owned by the Village of Estero from Commercial Planned Development a. Action: Approved Ordinance No. 2023",Approved Ordinance No. 2023,Approved Ordinance No. 2023,Approved Ordinance No. 2023,,,Detected,,Ordinance No. 2023-04,,"9000 Williams Road, Estero, FL","9000 Williams Road, Estero, FL",26.420956750596,-81.80311832661,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation
"First Reading of Ordinance No. 2023-06, Coconut Road EPD Rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD) for a 45.6...",Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,992,11,Ordinance,mixed_use,"First Reading of Ordinance No. 2023-06, Coconut Road EPD Rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD) for a 45.6...","First Reading of Ordinance No. 2023-06, Coconut Road EPD Rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Mixed Use Planned Development (MPD) to Estero Planned Development (EPD) for a 45.6-Acre Pa. Action: Passed First Reading of Ordinance No. 2023-06 and Set Public Hearing and Second Reading for July 5, 20","Passed First Reading of Ordinance No. 2023-06 and Set Public Hearing and Second Reading for July 5, 20","Passed First Reading of Ordinance No. 2023-06 and Set Public Hearing and Second Reading for July 5, 20","Passed First Reading of Ordinance No. 2023-06 and Set Public Hearing and Second Reading for July 5, 20",,,Detected,,Ordinance No. 2023-06,,"Woodfield Estero project site, northwest corner of US 41 & Coconut Road, Estero, FL","Woodfield Estero project site, northwest corner of US 41 & Coconut Road, Estero, FL",26.4022,-81.815,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation
"Public hearing to consider proposed Settlement Agreement between the Village of Estero and Long Bay Partners, LLC; TOP CR Associates, LLC; and PAC Estero Apartments, LLC, related to The Brooks Town Center property lawsuits",Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,991,10,Contract Approval,residential,"Public hearing to consider proposed Settlement Agreement between the Village of Estero and Long Bay Partners, LLC; TOP CR Associates, LLC; and PAC Estero Apartments, LLC, related to The Brooks Town Center property lawsuits","Public hearing to consider proposed Settlement Agreement between the Village of Estero and Long Bay Partners, LLC; TOP CR Associates, LLC; and PAC Estero Apartments, LLC, related to The Brooks Town Center property lawsuits. Action: Approved Settlement Agreement",Approved Settlement Agreement,Approved Settlement Agreement,Approved Settlement Agreement,,,Detected,,,,"The Brooks Town Center, Estero, FL","The Brooks Town Center, Estero, FL",26.396617,-81.786171,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,988,7,Contract Approval,infrastructure,8801 Corkscrew Road Debris Removal - EC 2023-21 Amendment 1,"8801 Corkscrew Road Debris Removal - EC 2023-21 Amendment 1. Action: Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council","Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council","Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council","Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council",,,Detected,,EC 2023-21,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation
Estero Parkway Improvements,Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,987,6,Contract Approval,other,Estero Parkway Plant Replacements - EC 2021-04 Amendment 5,Estero Parkway Plant Replacements - EC 2021-04 Amendment 5. Action: Approved award Contract EC 2021-04 Amendment 5 to replace plant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council,Approved award Contract EC 2021-04 Amendment 5 to replace plant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council,Approved award Contract EC 2021-04 Amendment 5 to replace plant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council,Approved award Contract EC 2021-04 Amendment 5 to replace plant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of Estero Council,,,Detected,,EC 2021-04,,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL","Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",26.448792003304,-81.803409304378,0.95,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,986,5,Vote,infrastructure,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cos","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cos","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cos","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cos",,,Detected,,RFB 2023-04,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation
