Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
03012023 minutes.pdf,"MARCH 15, 2023",2023-03-15,Village Council,"US 41, Estero, FL",9:30 am,Unknown,"Approv ed the Consent Agenda items a , b, and c . | A pprove s Supplemental Task Authorization (STA) -34 under contract EC 2019- 06 to P & T Lawn and Tractor Service, Inc. to construct and install a monument sign on US 41 at a total cost of $69,968, approve a contingency fund amount of $7,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA on behalf of the Village of Estero | A pproved Ordinance No. 2023 -02 the recommended changes made by the P lanning Zoning and Design Board. Village",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/03012023%20minutes.pdf
11022022 minutes.pdf,"November 2, 2022",2022-11-02,Village Council,"Corkscrew Road, Estero, FL",9:30 am,Unknown,"Passed first reading of Ordinance No. 2022 -17 and set seco nd reading and | Approved Ordinance No. 2022 -12. | Approved conti nuance of Ordinance 2022- 13 until the November 16, 2022 Village | Approved Ordinance No. 2022 -14 with the addition that the applicant will modify the proposed white color to a white tone acceptable to the Village | Approved Ordinanc e No. 2022 -15 with | Approved Ordinance No. 2022 -16 with two changes; o ne to condition 8 regarding significant construction and the second to condition 7 to enhance the landscape along the linear park on Corkscrew Road with a bench on Via Cocon ut. Village",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11022022%20minutes.pdf
031616 Council Meeting Approved Minutes.pdf,"APRIL 6, 2016",2016-04-06,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Accepted the report. | Adopted Resolution No. 2016-06. | Approved first reading of Ordinance No. 2016-03 and set second reading for April 6, 2016.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/031616%20Council%20Meeting%20Approved%20Minutes.pdf
12032025.pdf,"December 3, 2025",2025-12-03,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:21 am,Approved consent agenda . | Adopted Resolution No. 2025- 27. | Adopted Resolution No. 2025- 28. | Adopted Resolution No 2025- 24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process. | Adopted Resolution No. 2025- 25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process. | Adopted Ordinance No. 2025- 16 on first reading and to schedule a second reading and | Adopted Ordinance No. 2025- 13.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12032025.pdf
03172021 minutes.pdf,"MARCH 24, 2021",2021-03-24,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:26 am,"Elected Vice Mayor Errington to be Mayor. Village | Approved agenda. | Approved the Consent Agenda. | Approved Resolution 2021-04. | Authorized the M ayor to provide letters to our legislative deleg ation on several issues of local government preemption that are being considered by the legislature, one being building design standards preemption, the other being the comprehensive plan language in S enate Bill 284, and the language in House Bill 403, which is the home-based business preemption.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/03172021%20minutes.pdf
020117 Council Meeting  Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as revised, adding Edison Farms as Agenda Item 10 (c). | Approved the Consent Agenda. | Adopted Resolution No. 2017-04. | A workshop will be scheduled. | Approved the letter to Florida Department of Transportation.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/020117%20Council%20Meeting%20%20Approved%20Minutes.pdf
2019-06-05 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"US 41, Estero, FL",9:30 am,Unknown,Approved removing Agenda Item 6 (c) Right of Way Review Services RFQ 2019-02 and approved the agenda as revised. | Approved the Consent Agenda. | Adopted Resolution No. 2019-04 approving the Miromar Factory Outlet III Replat. | Adopted Resolution No. 2019-05 approving the Joint Participation Agreement (JPA) for the US 41 Landscape Improvements Project.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-06-05%20Council%20Meeting%20Approved%20Minutes.pdf
042016 Council Meeting Approved Minutes.pdf,"MAY 18, 2016",2016-05-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Accepted Roger Strelow's resignation, with thanks from the",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/042016%20Council%20Meeting%20Approved%20Minutes.pdf
02152023 minutes.pdf,"February 15, 2023",2023-02-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the Consent Agenda . | M otion passed to a uthorize Village Manager to take the necessary actions to demolish the residential structure and convey salvaged elements to third parties in the Village’s best interests. | Approv ed award of Request for Bids No. RFB 2023- 01, Estero on the River Non- Native Invasive and Nuisance Plant Treatments to Milborne, LLC to provide the services as provided in the contract, at a grand total cost of $82,317.41, approve a contingency fund amount of $8,230 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02152023%20minutes.pdf
3152023 minutes.pdf,"March 15, 2023",2023-03-15,Village Council,"US 41 and Williams Road, Estero, FL",9:30 am,Unknown,"Approv ed the Consent Agenda . | Concurred with and Approved the ranking of consul tants for RFP 2023- 01 Disa ster Management Services to The Village of Estero . | A pprove d miscellaneous Contractor Servic es contract EC 2019- 66 STA 36 wit hP&T Lawn & Tractor Services to install landscaping within US 41 Medians 1- 5, including a 10% contingency. | A pprove d Recreational Proposals for the Village - owned Williams Road Property.",LL/HO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/3152023%20minutes.pdf
04172015 minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04172015%20minutes.pdf
12302020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved Amendment 1 to the CARES Act reimbursement Interlocal Agreement with Lee County.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12302020%20Council%20Meeting%20Minutes.pdf
01082025 minutes.pdf,"JANUARY 22, 2025",2025-01-22,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:25 am,"Approved consent agenda . | Approved award of Task Authorization 14 to Contract EC 2022- 38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero | Passed first reading and schedule second reading for February 5, 2025 and the applica nt will provide us with additional information. Village | Passed first reading and schedule second reading for January 22, 2025.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01082025%20minutes.pdf
2019-04-03 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-04-03%20Council%20Meeting%20Approved%20Minutes.pdf
04072021 minutes.pdf,"APRIL 21, 2021",2021-04-21,Village Council,"US 41 and Coconut Road, Estero, FL",9:30 am,12:02 pm,"Approved the Consent Agenda. | Approved Resolution 2021- 10. | Approved Resolution 2021- 12. | Approved award of Request for Bids No. RFB 2021- 02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, ap prove a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and a uthorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero Counci l. | Approved award of Supplemental Task Authorization",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04072021%20minutes.pdf
040615 Regular Meeting Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/040615%20Regular%20Meeting%20Minutes.pdf
11152023 minutes.pdf,"DECEMBER 6, 2023",2023-12-06,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:44 am,"Approved consent agenda. | Passed first reading and set second reading for December 6, 2023. | Passed first reading and set second reading for December 6, 2023. | Passed second reading of Ordinance No. 2023- 03 with the recommended changes from the Planning Zoning and Design Board of changing the size of the accessory garage to 580 square feet instead of 500 square feet, strike the language “may not exceed two doors and two bays ”, and on page 2 number 2 change 240 square feet to 280 square feet .",ON/IN,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11152023%20minutes.pdf
04212021 minutes.pdf,"April 21, 2021",2021-04-21,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:40 pm,"Approved to permit | Approved agenda . | Approved the Consent Agenda. | Approved the Interlocal Agreement and forward to Lee County Port Authority for their approval and signature. | Approved Resolution 2021- 13. | Passed First Reading and set Second Reading for May 5, 2021 at 9:30 a.m. Village | Passed First Reading and set Second Reading for May 5, 2021 at 9:30 a.m. | Approved Ordinance 2021- 03.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04212021%20minutes.pdf
20191218 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Authorized the Village Manager to enter into an agreement with Mark Ebelini to continue representing the Village ofEstero utilizing their Government | Approved the Memorandum of Agreement and First Amendment, and authorized the Village Manager to take all steps necessary to complete the transaction of the Happehatchee property to the Village ofEstero. Village",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/20191218%20Council%20Meeting%20Approved%20Minutes.pdf
072617 Zoning and DRI Development Order Hearing Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"US 41 and Williams Road, Estero, FL",9:30 am,Unknown,"Approved second reading and adopt Ordinance No. 2017-02 Approving Zoning and DRI Development Order Amendments for the Coconut Point Mixed Use Planned Development and Development of Regional Impact for Property Bounded by US 41 on the West, Williams Road on the North, Seminole Gulf Railroad Right-of-Way on the East and the Southern Boundary for the Village of Estero Limits, subject to all conditions and revisions, as stated in the ordinance. The conditions and deviations include, but are not limited to, an easement for",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/072617%20Zoning%20and%20DRI%20Development%20Order%20Hearing%20Approved%20Minutes.pdf
011817 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Adopted Resolution No. 2017-01. | Revised item No. 2 on the legislative priorities list to read: ""Support | Approved the Village of Estero 2017 State Legislative Priorities as revised. | Approved the Village of Estero membership in the Bonita Springs Estero Economic Development | Designated Mayor Batos as the Village spokesman at the Legislative Delegation meeting. | Passed second reading and adopted Ordinance No. 2017-01 with revised wording for Conditions 1, 3, 7, 10, and 15.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/011817%20Council%20Meeting%20Approved%20Minutes.pdf
031517 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda as amended. | Approved the Consent Agenda. | Approved support for the project and to continue fact finding. | Appointment of a liaison was tabled.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/031517%20Council%20Meeting%20Approved%20Minutes.pdf
120617 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | ( 1) Concurred with and approved the ranking of consultants for RFQ 2017-01 Village ofEstero Land Development Code Update as follows: Number 1 -Canin Associates; Number 2 -Clarion Associates; Number 3 - Johnson Engineering; Number 4 -The Mellgren Planning Group; Number 5 - Kimley-Hom and Number 6-Keith & Schnars; and (2) Authorized | Approved the five provided railroad crossing agreements and one provided general agreement. | Approved the contract with OneSource Construction Company & Builders, Inc. in the amount of$155,667.76 for the labor, materials, and required ancillaries to provide a turnkey remodel of the 2nd floor of the Estero Vi",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/120617%20Council%20Meeting%20Approved%20Minutes.pdf
1182023 minutes.pdf,"FEBRUARY 1, 2023",2023-02-01,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:34 am,Approved the Consent Agenda .,ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/1182023%20minutes.pdf
04022025.pdf,"APRIL 16, 2025",2025-04-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:55 am,"A pproved consent agenda . | A dopted Resolution No. 2025- 06. | A dopted the First Amendment . | A uthorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub . | A pprove d award of Contract EC 2022- 33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes. | A pprove d the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement . | Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04022025.pdf
05262021 minutes.pdf,"May 26, 2021",2021-05-26,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:55 am,Approved to permit | Approved agenda . | Approved the first reading of the ordinance and to transmit the Comprehensive Plan Amendment request to the State reviewing agencies with,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05262021%20minutes.pdf
07222020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the Consent Agenda. | Review proposed Budget for Fiscal Year 2020-2021 Financial Impact: The proposed budget will provide funding for the Fiscal Year 2020-2021 | Adopted Resolution No. 2020-13 | Approve Resolution 2020-12 Naming the Lee County Supervisor of Elections as the Village ofEstero's Qualifying Official and authority for the Village Manager to enter into the attached agreement with the Lee County Supervisor of Elections, which is an expansion of the existing interlocal agreement between the parties. | Approve the WCI/Lennar Transportation Impact Fee Credit Agreement between WCVLennar and the Village of Estero for the Pelican Colony Traffic Signal. Authorize the Mayor to exe",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07222020%20Council%20Meeting%20Minutes.pdf
02022022 minutes.pdf,"FEBRUARY 16, 2022",2022-02-16,Village Council,"Broadway Avenue and Sandy Lane, Estero, FL",9:30 am,Unknown,"Approved agenda. | Approved the Consent Agenda . | Adopted Resolution No. 2022- 02. | Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Pro ject as follows: Number Village | Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 – Johnson Engineering, Inc.; Number 2 – Tetra Tech, Inc. ; Number 3 – CW3 Engineering, Inc.; Number 4 – JR Evans Engineering, P.A., and authorize | Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 – Tetra Tech, Inc.; Number 2 – Johnson Engineering, Inc",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02022022%20minutes.pdf
081015 Regular Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/081015%20Regular%20Meeting%20Approved%20Minutes.pdf
Cancel April 15 Council Meeting.pdf,"April 15, 2020",2020-04-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,,Meeting Cancelled,,Cancelled,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/Cancel%20April%2015%20Council%20Meeting.pdf
092617 Council Special Meeting Budget Hearing Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Agenda Item l0(a) - | Approved the agenda as amended. | Adopted Resolution No. 2017-24. | Adopted Resolution No. 2017-25. | Approved the Interlocal Agreement with Lee County for Natural Resources Services. | Adopted the list of Liaison Assignments to Outside Organizations and Areas of Strategic Concern as amended.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/092617%20Council%20Special%20Meeting%20Budget%20Hearing%20Approved%20Minutes.pdf
Cancel 062916 Council Meeting.pdf,"June 29, 2016",2016-06-29,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,,Meeting Cancelled,,Cancelled,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/Cancel%20062916%20Council%20Meeting.pdf
09232015 minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09232015%20minutes.pdf
121115 Workshop Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/121115%20Workshop%20Approved%20Minutes.pdf
092116 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Adopted Resolution No. 2016-28, as amended. | Adopted Resolution No. 2016-29. | Adopted Ordinance No. 2016-11. | Adopted Ordinance No. 2016-12, as amended. | Adopted Resolution No. 2016-24. | Authorized the Mayor to sign letters to Congressman Curt Clawson and Senator Bill Nelson, supporting key pieces oflegislation. | Adopted Resolution No. 2016-25.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/092116%20Council%20Meeting%20Approved%20Minutes.pdf
062615 Special Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/062615%20Special%20Meeting%20Approved%20Minutes.pdf
040517 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as amended, pulling Agenda Item 10 ( c ). | Approved the Consent Agenda. | Amended the beginning date of the terms to April 1, 2017 and adopted Resolution No. 2017-07 as amended. Village | Amended the beginning date of the terms to April 1, 2017. | Adopted Resolution No. 2017-08 as amended.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/040517%20Council%20Meeting%20Approved%20Minutes.pdf
06162021 minute.pdf,"June 16, 2021",2021-06-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:38 am,"Approved agenda with the deletion of 6( b). . | Approved the consent agenda. | Approved award of Contract to Woodard & Curran in the amount of $159,000. Al so approve a contingency fund amount of $15,900 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur. Authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero | P assed Ordinance 2021- 04. | P assed Ordinance 2021- 08.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06162021%20minute.pdf
052015 Regular Meeting Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/052015%20Regular%20Meeting%20Minutes.pdf
09072023 minutes.pdf,"SEPTEMBER 20, 2023",2023-09-20,Village Council,"Three Oaks Parkway and US 41, Estero, FL",9:30 am,Unknown,"Approved consent agenda. Village | Approved award Misc. Contractor Services contract EC 2019- 66 STA 40 with P & T Lawn & Tractor Services for $254,934 to install new landscaping within US 41 Medians 6- 12, approve a contingency fund amount of $25,500 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero | Approved award EC 2019- 66 Supplemental Task Authorization (STA) - 41 for the eng agement of a Contractor to construct and install a monument sign on Three Oaks Parkway at a total cost of $74,449, approve a contingency fund amount of $7,500",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09072023%20minutes.pdf
01062016 minutes.pdf,"JANUARY 20, 2016",2016-01-20,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda. | Approved the Consent Agenda. | Approved first reading of Ordinance No. 2016-01. | Adopted Resolution No. 2016-01. | Adopted Resolution No. 2016-02. | Adopted Resolution No. 2016-03. | No action required. 8.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01062016%20minutes.pdf
120215 Regular Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/120215%20Regular%20Meeting%20Approved%20Minutes.pdf
032316 Council Meeting Approved Minutes.pdf,"APRIL 20, 2016",2016-04-20,Village Council,"Corkscrew Road and Estero Parkway, Estero, FL",9:30 am,Unknown,"Approved the agenda. | Adopted Ordinance No. 2016-02 as amended. | Accepted all submissions, appointed the Village Manager, Finance | Accepted all submissions, appointed the Village Manager, Finance Director and Community Development Director as the interview committee, directed the committee to interview each firm (these would be posted and | Awarded the bid to ProAudio Services with the recommended add-ons. | Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway. | Approved commencing",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/032316%20Council%20Meeting%20Approved%20Minutes.pdf
10012025.pdf,"October 15, 2025",2025-10-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:20 am,"Approved the Florida DEP Standard Grant Agreement for the Estero Orange Park Utility Extension Project (Agreement Number L0188), and V illage",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10012025.pdf
062216 Council Special Meeting Approved Minutes.pdf,"AUGUST 17, 2016",2016-08-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda. | Appointed William Campos to the Planning and Zoning Board to a term expiring March 31, 2018 and adopted Resolution No. 2016-15. | Adopted Resolution No. 2016-14 as amended. | Adopted Ordinance No. 2016-04. | Adopted Ordinance No. 2016-07.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/062216%20Council%20Special%20Meeting%20Approved%20Minutes.pdf
12012021 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:52 am,Approved agenda. Village | Approved the Consent Agenda. | Passed Ordinance 2021-11.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12012021%20minutes.pdf
03242021 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:30 am,Approved agenda with deletion of item 12 and to move 5 to after 7c. Village | Approved the Consent Agenda.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/03242021%20minutes.pdf
04032024 minutes.pdf,"APRIL 17, 2024",2024-04-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:19 am,"Approved consent agenda. | Selected Al Paivandy, James E Tatooles, and Leonard E Scotty Wood III to a one -year term to the Planning, Zoning, and Design Board members, Dan Williams, Anthony Gargano, and Michael Sheeley to a three -year term to the Planning Zoning and Design Board and approve Resolution No. 2024- 04. | Selected Anthony Gargano as Chairperson of the Planning Zoning and Design Board. | Approved the Framework of Cooperation Between the Village of Estero and the Estero Forever Foundation. | Approved EC 2024- 29 Wright Construction Group Piggyback Agreement for Construction Manager At Risk services and to authorize the Village Manager to execute the agreeme",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04032024%20minutes.pdf
030916 Zoning Hearing Approved Minutes.pdf,"APRIL 6, 2016",2016-04-06,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved continuing to a date certain, March 23, 2016.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/030916%20Zoning%20Hearing%20Approved%20Minutes.pdf
022217 Council Workshop Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda as revised; comments from the,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/022217%20Council%20Workshop%20Minutes.pdf
081716 Council Meeting Approved Minutes.pdf,"AUGUST 31, 2016",2016-08-31,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as revised. | Approved the Consent Agenda, revising the July 13, 2016 meeting minutes, correcting the word ""building"" to read ""buildings."" | Endorsed the revised Caloosahatchee Watershed Regional Water Management Issues White Paper, dated July 15, 2016, and authorized the Mayor to sign a letter indicating | Adopted Resolution No. 2016-23. | Approved the request for the Mayor to sign a letter of support for the Edward Byrne Memorial Justice Assistance Grant (JAG) | Approved the agreement between the Village ofEstero and LaRue Planning & Management Services, Inc. | Continued to next | Approved the agreement as amended, between the Village of Estero and Nancy Stroud of Lewis",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/081716%20Council%20Meeting%20Approved%20Minutes.pdf
0232021 minutes.pdf,"MARCH 3, 2021",2021-03-03,Village Council,"US 41 and Williams Road, Estero, FL",9:30 am,11:17 am,"Approved to permit | Approved agenda with the moving items of 7A and 8A up to be heard after the Consent Agenda . | Approved the Consent Agenda. | Denied request to amend the zoning for the Estero Town Center CPD for a Firestone Complete Auto C are, and adopt Ordinance 2020- 09. | Approved the Williams Road Bicycle and Pedestrian Improvements – Concept Design contract with Banks Engineering under Supplemental Task Authorization (STA) – 01 Contract EC 2020- 56 Miscellaneous Professional Services to perform a suite of desi gn services for the Bicycle & Pedestrian improvements along Williams Road, betwe en US 41 and Village | Approved Ben Hill Griffin Parkway Preliminar y Landscape Design contr",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/0232021%20minutes.pdf
04172024 minutes.pdf,"MAY 1, 2024",2024-05-01,Village Council,"Sandy Lane, Estero, FL",9:30 am,11:03 am,"Approved consent agenda. | Approved EC 2024- 06 STA -05 in the amount of $81,000 with Florida Acquisition & Appraisal, Inc. to assist the Village in obtaining easement and property required to construction the Broadway Ave East UEP Areas 2 & 3, approve a $8,100 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approved the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04172024%20minutes.pdf
