Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
10192022 minutes.pdf,"NOVEMBER 02, 2022",2022-11-02,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Adopted Resolution No. 2022- 31. | Passed first reading of Ordinance No. 2022 -13 and set seco nd reading and | Passed first reading of Ordinance No. 2022 -14 and set second reading and | Passed first reading of Ordinance No. 2022 -15 and set second reading and | Passed first reading of Ordina nce No. 2022- 16 and set second reading and | Approved Ordinance No. 2022 -09. | Approved 2022- 10 with changes to language to allow only one free - standing fast -food restaurant, and revise conditions related to the buffer and the | Approved to continue this Ordinance No. 2022- 11 until November 16, 2022 | Approved to continue this Ordinance No. 2022- 12 until No vember 2, 2022",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10192022%20minutes.pdf
09112024 minutes.pdf,"SEPTEMBER 18, 2024",2024-09-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,8:17 pm,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09112024%20minutes.pdf
091715 Workshop Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/091715%20Workshop%20Approved%20Minutes.pdf
03022022 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:57 pm,"Approved agenda. | Approved the Consent Agenda. | Approved Greater Estero Chamber of Commerce $12,500 for financial support for St rategic Plans for Future Growth and Impact, and the Greater Estero Chamber of Com merce can come back to",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/03022022%20minutes.pdf
09212022 minutes.pdf,"September 21, 2022",2022-09-21,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Adopted Resolution No. 2022- 22. | Adopted Resolution No. 2022- 29. | Passed first reading of Ordinance No. 2022 -09 and set second reading and | Passed first reading of Ordinance No. 2022 -10 and set second reading and | Passed first reading of Ordinance No. 2022 -11 and set second reading and | Passed first reading of Ordinance No. 2022- 12 and set second reading and | Approved Resolution No. 2022- 27 with the Mill rate .75. | Approved Resolution No. 2022- 28. | Approved Ordinance No. 2022- 06. | Approved Ordinance No. 2022 -07. | Approved Ordinance No. 2022 -08.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09212022%20minutes.pdf
2020-04-22 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2020-04-22%20Council%20Meeting%20Approved%20Minutes.pdf
2019-09-04 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda, with the addition of Agenda Item 10 (c) Resolution No. 2019-15. | Approved the Consent Agenda. | Adopted Resolution No. 2019-12. | Adopted Resolution No. 2019-13. | Continued first reading of Ordinance No. 2019-27 and referred it to the Design Review Board to review the concems/issues that | Passed first reading of Ordinance No. 2019-28. | Approved Supplemental Task Authorization (STA)-l under CN 2018-02 Miscellaneous Professional Services to Banks Engineering to perform a suite of design services for the Water and Sewer Expansion Project. | Tabled this agenda item until the | Adopted Resolution No. 2019-15.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-09-04%20Council%20Meeting%20Approved%20Minutes.pdf
033016 Council Meeting Approved Minutes.pdf,"MAY 4, 2016",2016-05-04,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda. | Passed first reading and transmittal of Ordinance No. 2016-04.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/033016%20Council%20Meeting%20Approved%20Minutes.pdf
05082015 minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05082015%20minutes.pdf
09272022 minutes.pdf,"September 27, 2022",2022-09-27,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Adopted Resolution No. 2022- 30.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09272022%20minutes.pdf
01202016 minutes.pdf,"FEBRUARY 10, 2016",2016-02-10,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved the agenda. | Approved the Consent Agenda. | Adopted Ordinance No. 2016-01. | Continued this item to a date when the | Approved the | Approved the proposal from Trebilcock Consulting Solutions and waived the competitive bidding procedures outlined in the Village purchasing ordinance. | Approved the agenda. | Approved the application going forward as meeting the criteria for an exception to the Zoning in Progress Resolution. | Adopted Ordinance No. 2015-21 as revised and described by Community Development Director Gibbs.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01202016%20minutes.pdf
01132016 minutes.pdf,"FEBRUARY 10, 2016",2016-02-10,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Directed Village Land Use Attorney Nancy Stroud to investigate the merits | Continued deliberations to 9:00 a.m. on January 20, 2016.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01132016%20minutes.pdf
2019-05-15 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda with the revision to Agenda Item 9 continued to the June 5, 2019 | Approved the Consent Agenda. | Suspended applications until such time as the consultants working on the Village Land Development Code provide suggested alternatives on the Design Review Board ordinance in the Fall. | Approved the",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-05-15%20Council%20Meeting%20Approved%20Minutes.pdf
20191120 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the Lee County Interlocal Agreement for Subgrant Funding via the West Coast Inland Navigation District (WCIND). | Approved the 2019-2020 Interlocal Agreement between Village of Estero and Lee County for Stray Animal Control Services. | (1) Approved award of Request for Bids No. RFB 2019-08, On-Call Street Light Inspection and Maintenance for the Village ofEstero to American Infrastructure Services, Inc. to provide on-call street light inspection and maintenance services as provided in the contract for a one-year period, at the rates listed in the contract (including all Options). (2) Authorized the Village Manager to execute the contract documents on behalf of the Village ofEstero |",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/20191120%20Council%20Meeting%20Approved%20Minutes.pdf
05052021 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Coconut Road, Estero, FL",9:30 am,12:31 pm,"Approved the Consent Agenda. | Approved the acceptance of North Commons Drive from Coconut Road to Pelican Colony Boulevard for maintenance as a Village- maintained road, issue impact fee credits in the amount of $325,000 upon acceptance of the road, and approve Resolution No. 2021-11 as modified to include landscaping, and revision to the end of Section 2 to add language “including a letter issuing impact fee credits ”. | Approved Ordinance No. 2021-05. | Approved Ordinance No. 2021-06.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05052021%20minutes.pdf
06052024 minutes.pdf,"JUNE 19, 2024",2024-06-19,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:35 am,"Approved consent agenda. | Approved the ranking of construction management firms for RFP 2024- 04 as 1- Wright Construction and a uthorize Village | Approved the ranking of construction management firms for RFP 2024- 02 as recommended by the Village of Estero’s selection committee. 1-Manhattan Construction, 2- Wright Construction, 3- Chris Tel Construction, 4- Seagate Development Group, 5 Brooks & Freund, and authorize Village | Approved the ranking of construction management firms for RFP 2024- 03 as recommended by the Village’s selection committee. 1 – Wright Construction, 2 – AIM Construction, 3 – Chris Tel Construction, 4 – American Infrastructure Services, and authorize Village | Passed",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06052024%20minutes.pdf
062117 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Estero Parkway, Estero, FL",9:30 am,Unknown,"Approved the agenda. | Approved the Consent Agenda. | Passed first reading of Ordinance No. 2017-02 with the condition that it goes back to the Planning and Zoning Board for a new recommendation of the modified plan. | Adopted Resolution No. 2017-16. | Approved release of CN 2017-01, which solicits proposals for the Estero Parkway Roadway and Landscape Design. | Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel. | Approved release ofRFQ 2017-04, which solicits proposals for the Pipe Replacement under Broadway A venue. | Approved release ofRFQ 2017-02, which solicits proposals for Disaster Debris Monitoring. | Approved release ofRFQ 2017-03",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/062117%20Council%20Meeting%20Approved%20Minutes.pdf
