Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
02072024 minutes.pdf,"February 7, 2024",2024-02-07,Village Council,"US 41 and Williams Road, Estero, FL",9:30 am,11:15 am,"Approved agenda | Approved consent agenda | Approved schedule for Planning Zoning and Design Board appointments | Adopted Resolution No. 2024-03 | Approved EC 2024-06 STA -02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2024-06 STA-03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2019-66 STA-42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero",TD/CS,Accepted,https://your-website.com/estero-pdfs/02072024 minutes.pdf
021016 Council Regular Meeting Approved Minutes.pdf,"February 10, 2016",2016-02-10,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",10:00 am,11:25 am,"Approved the agenda | Approved the Consent Agenda, revising minutes as necessary | Authorized staff to distribute RFQ 2016-01 | Authorized staff to distribute RFP 2016-01 | Authorized staff to distribute RFP 2016-02 | Appointed Robert King as Village CAC Representative to MPO | Accepted the letter of resignation from Jeffrey Mass dated January 12, 2016 and directed the Village Clerk to advertise the vacancy and solicit applications | Adopted Resolution 2016-05 as amended | Authorized the Mayor to sign the letter and approved and endorsed the white paper entitled ""Caloosahatchee Watershed Regional Water Management Issues."" | Adopted Resolution No. 2016-04",SS,Accepted,https://your-website.com/estero-pdfs/021016 Council Regular Meeting Approved Minutes.pdf
021517 Council Meeting  Approved Minutes.pdf,"February 15, 2017",2017-02-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:20 pm,"Approved the agenda | Motion failed | Approved the February 1, 2017 Council meeting minutes as presented | The ""Whereas"" clause appointing a liaison will have no name in it and the clause will indicate that the Council will appoint a liaison for the project | Adopted Resolution No. 2017-05 as amended: the third ""Whereas"" to read ""Whereas, the Village Council of the Village of Estero supports Lee County in its efforts to acquire Edison Farms for preservation purposes in perpetuity"" and the fourth ""Whereas"" to read ""Whereas, the Village Council will appoint a Councilmember to act as liaison for the project."" | Appointed Councilmember Jim Boesch as liaison for the project | Adopted Resolution No. 2017-06 supporting the Village ofEstero membership in the Charlotte Harbor National Estuary Program for a three year period, to be reauthorized annually, with an annual membership fee of $5,000, and appointing Councilmember Katy Errington as liaison; amended Section 4 of the resolution, changed Village Manager to Mayor, and added the word ""fiscal"" in the last sentence of Section 1 of the funding agreement: ""The Council may extend this Agreement for two additional fiscal years ... "" | Amended the recently approved Village Council Legislative Agenda to add support for State funding of $3,550,000 for a Visitor and Environmental Education Center at Lovers Key State Park | Continued first reading of Ordinance No. 2017-02",SS,Accepted,https://your-website.com/estero-pdfs/021517 Council Meeting  Approved Minutes.pdf
02152023 minutes.pdf,"February 15, 2023",2023-02-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:02 am,"Approved agenda | Approved the Consent Agenda | Motion passed to authorize Village Manager to take the necessary actions to demolish the residential structure and convey salvaged elements to third parties in the Village's best interests | Motion passed to authorize Village Manager to execute the Federally Funded Subaward and Grant Agreement for Hurricane Ian between the Village and the State of Florida | Approved award of Request for Bids No. RFB 2023-01, Estero on the River Non-Native Invasive and Nuisance Plant Treatments to Milborne, LLC to provide the services as provided in the contract, at a grand total cost of $82,317.41, approve a contingency fund amount of $8,230 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved agreement for Land Use and Code Enforcement Special Magistrate Services with Robert Pritt at the hourly rate listed in the Agreement. Grant the Village Manager the authority to renegotiate and execute the renewal of this Agreement on an annual basis, if doing so is in the best interest of the Village of Estero, authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Passed first reading of Ordinance No. 2023-02 and set second reading for March 1, 2023 | Approved Zoning Ordinance 2023-01 | Approved Resolution 2023-01 (12th Amendment to D",TD/CS,Accepted,https://your-website.com/estero-pdfs/02152023 minutes.pdf
02162022 minutes.pdf,"February 16, 2022",2022-02-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:50 am,Approved agenda | Approved the Consent Agenda | Approved the 2021-2022 Interlocal Agreement between Village of Estero and Lee County for Stray Animal Control Services,TD/CS,Accepted,https://your-website.com/estero-pdfs/02162022 minutes.pdf
02192025.pdf,"February 19, 2025",2025-02-19,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:21 am,"Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-02 | Approved award of Contract EC2020-01 STA02 Change Oder 01 to Kisinger Campo & Associates to provide additional professional services to secure right of way and provide additional permitting assistance for a not to exceed amount of $125,364 and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved Change Order No. 2 to Contract No. 2019-36 with Coastal Engineering Consultants, Inc. for additional services needed to respond to additional FDEP permit questions and prepare an emergency dredging application and authorize the Village Manager to sign Change Order No. 2 on behalf of the Village of Estero Council",TD/CS,Accepted,https://your-website.com/estero-pdfs/02192025.pdf
02212024 minutes.pdf,"February 21, 2024",2024-02-21,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:50 am,"Approved agenda | Approved consent agenda | Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council | Passed first reading of Ordinance No. 2024-03 and set second reading for March 6, 2024",TD/CS,Accepted,https://your-website.com/estero-pdfs/02212024 minutes.pdf
022217 Council Workshop Minutes.pdf,"February 22, 2017",2017-02-22,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:57 pm,Approved the agenda as revised; comments from the public on non agenda items will be heard prior to the workshop discussion,SS,Accepted,https://your-website.com/estero-pdfs/022217 Council Workshop Minutes.pdf
02242016 minutes.pdf,"February 24, 2016",2016-02-24,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",10:00 am,10:56 am,Approved the agenda with the removal of agenda item 6(A) | Approved the Notice of Competitive Negotiation | Approved first reading of Ordinance No. 2016-02 | Authorized the Mayor to sign the letter | Approved the agenda,SS,Accepted,https://your-website.com/estero-pdfs/02242016 minutes.pdf
02242021 minutes.pdf,"February 24, 2021",2021-02-24,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:14 am,"Approved motion to excuse Councilmember Wilson's absence | Approved agenda | Approved Resolution No. 2021-02 and authorize the Village to modify the Resolution if needed | Approved motion to conclude interviews, and schedule the item at the March 3rd meeting, where a final decision will be made",TD/CS,Accepted,https://your-website.com/estero-pdfs/02242021 minutes.pdf
