ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
General Planning & Zoning,Planning Zoning & Design Board,2025-07-08,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-07-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/07082025%20PZDB%20Minutes.pdf,2025-07-08,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-07-02,2025,Accepted,Approved consent agenda. | Adopted Resolution No. 2025-10. | Adopted Resolution No. 2025-11. | Passed first reading of Ordinance No. 2025-07 and set second reading and,9:30 am,DA/MI,Village Council Meeting Minutes — 2025-07-02,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07022025.pdf,2025-07-02,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-06-18,2025,Accepted,"A pproved consent agenda . | P assed first reading of Ordinance No. 2025- 05 and set second reading for June 18, 2025. | P assed first reading of Ordinance No. 2025- 04 and set second reading for July 2, 2025. | P assed first reading of Ordinance No. 2025- 06 and Set | Passed first reading of Ordinance No. 2025- 08 and Set | A pprove d continuance to July 2 , 2025 for Condition 10 only.",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-06-18,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06042025.pdf,2025-06-04,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-06-10,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-06-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/06102025%20PZDB%20Minutes.pdf,2025-06-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-05-21,2025,Accepted,"Approved consent agenda . | Approved send ing notification letter and affidavit signed by Mayor to Florida Department of Commerce . | Approved the award of Contract 25035 with LandDesign, Inc. to prepare the Village of Estero Eco -Historic planning study for $430,000, approve a $43,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approved the award of landscaping, mowing and irrigation services for Village roadways for P & T Lawn & Tractor, for an amount not to exceed $2,896,517.52 annuall",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-05-21,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05072025.pdf,2025-05-07,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-05-13,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-05-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/05132025%20PZDB%20Minutes.pdf,2025-05-13,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Village Council Regular Meeting,2025-04-16,2025,Accepted,"A pproved consent agenda . | A dopted Resolution No. 2025- 06. | A dopted the First Amendment . | A uthorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub . | A pprove d award of Contract EC 2022- 33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes. | A pprove d the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement . | Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025.",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-04-16,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04022025.pdf,2025-04-02,BERT Rail Trail Corridor,26.433900,-81.815700
General Planning & Zoning,Planning Zoning & Design Board,2025-04-08,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-04-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/04082025%20PZDB%20Minutes.pdf,2025-04-08,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-03-11,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-03-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/03112025%20PZDB%20Minutes.pdf,2025-03-11,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-02-19,2025,Accepted,"Approved consent agenda . | Approved Resolution No. 2025- 01 to reappoint two (2) Planning, Zoning, and Design Board members for a one -year term. | Adopted Ordinance No. 2024- 14 with",9:30 am,ON/CO,Village Council Meeting Minutes — 2025-02-19,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02052025.pdf,2025-02-05,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-02-11,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-02-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/02112025%20PZDB%20Minutes.pdf,2025-02-11,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2025-01-22,2025,Accepted,"Approved consent agenda . | Approved award of Task Authorization 14 to Contract EC 2022- 38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero | Passed first reading and schedule second reading for February 5, 2025 and the applica nt will provide us with additional information. Village | Passed first reading and schedule second reading for January 22, 2025.",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-01-22,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01082025%20minutes.pdf,2025-01-08,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2025-01-14,2025,Pending,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2025-01-14,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/01142025%20PZDB%20Minutes.pdf,2025-01-14,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2024-12-18,2024,Accepted,Approved consent agenda. | Approved the final Sports Park Master Plan . | Approved m otion to accept the Standard & Poor’s General Obligation Bond Rating for the Village of Estero.,9:30 am,DA/MI,Village Council Meeting Minutes — 2024-12-18,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/12042024%20minutes.pdf,2024-12-04,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-12-10,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-12-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/12102024%20PZDB%20Minutes.pdf,2024-12-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2024-12-04,2024,Accepted,"Approved consent agenda. | Tabled Resolution No. 2024- 21. | Adopted Resolution No. 2024- 22 with the change to the fund balance carry -over for the driving range funds of $21,566. | Approved Task Order for permitting and engineering study services between the Village of Estero and JR Evans Engineering, P.A. | Authorize the Village Manager to execute the Federally Funded Subaward and Grant Agreement for Hurricane Milton between the Village of Estero and the State of Florida. | Approved Ordinance No. 2024-08.",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-12-04,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11202024%20minutes.pdf,2024-11-20,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2024-11-20,2024,Accepted,"Approved consent agenda . | Approved Special Magistrate Services Agreement Between the Village of Estero and Patrick Neale, Esq. | Approved the Agreement Between the Village of Estero and the Estero Forever Foundation for Management of the Happehatchee Complex, and to authorize the Village Manager to execute the agreement. | Approved the Interlocal Agreement between the Village and County for acquisition of County Park land. | Approved the Interlocal Agreement with The Brooks Community Development District (CDD) for improvements to the Three Oaks Parkway paths and authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary which do not i",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-11-20,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11062024%20minutes.pdf,2024-11-06,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-11-12,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-11-12,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/11122024%20PZDB%20Minutes.pdf,2024-11-12,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2024-11-06,2024,Accepted,"Approved consent agenda with the correction of the minutes . | Approved the renewal contracts with Ronald L. Book, P.A. (annual cost: $42,350) and JEJ & Associates, Inc. (annual cost: $43,560) to provide professional State Legislative and Executive Branch Lobbying Services for a one -year period. Grant the Village Manager the authority to reauthorize the renewal of these contracts for three additional one -year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $4,235 for Ronald L. Book, P.A. and $4,356 for JEJ & Associates, Inc. totaling $8,591 (an amount equal to 10% of the total project cost) to cov",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-11-06,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10162024%20%20Minutes.pdf,2024-10-16,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-10-29,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-10-29,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf,2024-10-29,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-10-08,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-10-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10082024%20PZDB%20Minutes.pdf,2024-10-08,Estero Village Hall,26.428500,-81.806800
