item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at
296,90,3,Resolution,Resolution No. 2017-13,,"Resolution No. 2017-13 A Resolution of the Village Council of the Village of Estero, Florida, Providing for the Adoption of the 2017 Joint Unified Local Mitigation Strategy, Prepared by the Local Mitigation Strategy Working Group of Lee County, as the For",,,"Resolution No. 2017-13 A Resolution of the Village Council of the Village of Estero, Florida, Providing for the Adoption of the 2017 Joint Unified Local Mitigation Strategy, Prepared by the Local Mitigation Strategy Working Group of Lee County, as the For. Action: Adopted Resolution No. 2017",Adopted Resolution No. 2017,,Detected,
297,91,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,,Unanimous,
298,91,2,Consent Agenda,,,"Approval of May 17, 2017 Council Meeting Minutes",,,"Approval of May 17, 2017 Council Meeting Minutes. Action: Approved the Consent Agenda",Approved the Consent Agenda,,Unanimous,
299,91,3,Unknown,,,"DISTRICT 3 COUNCIL CANDIDATE INTERVIEW, COUNCIL DISCUSSION AND APPOINTMENT OF DISTRICT 3 COUNCILMEMBER District 3 Council Candidate Jon McLain was interviewed. Questions included: importance of Estero historic area; tell a little bit more about his corpor",3,,"DISTRICT 3 COUNCIL CANDIDATE INTERVIEW, COUNCIL DISCUSSION AND APPOINTMENT OF DISTRICT 3 COUNCILMEMBER District 3 Council Candidate Jon McLain was interviewed. Questions included: importance of Estero historic area; tell a little bit more about his corpor. Action: Suspended Council rules",Suspended Council rules,,See minutes,
300,91,4,Ordinance,Ordinance No. 2017-02,,"Ordinance No. 2017-02 An Ordinance of the Village Council of the Village ofEstero, Florida, (Approving) (Denying) Zoning and DRI Development Order Amendments for the Coconut Point Mixed Use Planned Development and Development of Regional Impact for Proper",,Coconut Point,"Ordinance No. 2017-02 An Ordinance of the Village Council of the Village ofEstero, Florida, (Approving) (Denying) Zoning and DRI Development Order Amendments for the Coconut Point Mixed Use Planned Development and Development of Regional Impact for Proper. Action: Passed first reading of Ordinance No. 2017-02 with the condition that it goes back to the Planning and Zoning Board for a new recommendation of the modified plan",Passed first reading of Ordinance No. 2017-02 with the condition that it goes back to the Planning and Zoning Board for a new recommendation of the modified plan,,Unanimous,
301,91,5,Resolution,Resolution No. 2017-16,,"Resolution No. 2017-16 A Resolution of the Village Council of the Village of Estero, Florida, Approving the Estero Commons Plat; and Providing an Effective Date The title of Resolution No. 2017-16 was read by",,,"Resolution No. 2017-16 A Resolution of the Village Council of the Village of Estero, Florida, Approving the Estero Commons Plat; and Providing an Effective Date The title of Resolution No. 2017-16 was read by. Action: Adopted Resolution No. 2017",Adopted Resolution No. 2017,,Detected,
302,91,6,Vote,CN 2017-01,,Competitive Negotiation CN 2017-01 Estero Parkway Roadway and Landscape Design,,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL","Competitive Negotiation CN 2017-01 Estero Parkway Roadway and Landscape Design. Action: Approved release of CN 2017-01, which solicits proposals for the Estero Parkway Roadway and Landscape Design","Approved release of CN 2017-01, which solicits proposals for the Estero Parkway Roadway and Landscape Design",,Unanimous,
303,91,7,Vote,RFQ 2017-01,,Request for Quotation RFQ 2017-01 for Estero Village Hall 2nd Floor Remodel,,Estero Village Hall,"Request for Quotation RFQ 2017-01 for Estero Village Hall 2nd Floor Remodel. Action: Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel","Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel",,Unanimous,
304,91,8,Vote,RFQ 2017-04,,Request for Bid RFQ 2017-04 for Pipe Replacement under Broadway A venue,,,"Request for Bid RFQ 2017-04 for Pipe Replacement under Broadway A venue. Action: Approved release ofRFQ 2017-04, which solicits proposals for the Pipe Replacement under Broadway A venue","Approved release ofRFQ 2017-04, which solicits proposals for the Pipe Replacement under Broadway A venue",,Unanimous,
305,91,9,Vote,RFQ 2017-02,,Request for Quotation RFQ 2017-02 for Disaster Debris Monitoring,,,"Request for Quotation RFQ 2017-02 for Disaster Debris Monitoring. Action: Approved release ofRFQ 2017-02, which solicits proposals for Disaster Debris Monitoring","Approved release ofRFQ 2017-02, which solicits proposals for Disaster Debris Monitoring",,Unanimous,
